,1,2,3,4,5,6,7,8,9,10,11,12
A,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
B,blank,LB,LB,glu,glu,ace,ace,gly,gly,aa_mix,aa_mix,blank
C,blank,LB,LB,glu,glu,ace,ace,gly,gly,aa_mix,aa_mix,blank
D,blank,LB,LB,glu,glu,ace,ace,gly,gly,aa_mix,aa_mix,blank
E,blank,LB,LB,glu,glu,ace,ace,gly,gly,aa_mix,aa_mix,blank
F,blank,LB,LB,glu,glu,ace,ace,gly,gly,aa_mix,aa_mix,blank
G,blank,LB,LB,glu,glu,ace,ace,gly,gly,aa_mix,aa_mix,blank
H,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
